input,label
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
print('hello world'),0
a=10; b=0; print(a/b),0
import pandas; df.read_csv('file.csv'),0
import pandas as pd; df=read_csv('file.csv'),0
import pandas as pd; df=pd.read_csv('data.csv'); print(df.head()),1
import pandas as pd; df=pd.read_csv('sales.csv'); df.describe(),1
import pandas as pd; df=pd.read_csv('data.csv'); df.groupby('month').sum(),1
import pandas as pd; import matplotlib.pyplot as plt; df=pd.read_csv('data.csv'); df.plot(); plt.show(),1
