task_text,task_type,input_data
Дана строка text. Подсчитайте количество слов.,text_words,"Python это язык программирования"
Дана строка text. Найдите количество слов.,text_words,"Изучение Python очень полезно"
Дана строка text. Определите число слов.,text_words,"Машинное обучение и анализ данных"
Дана строка text. Подсчитайте количество слов.,text_words,"Программирование требует практики"
Дана строка text. Найдите количество слов.,text_words,"Алгоритмы и структуры данных"

Дана строка text. Подсчитайте количество символов.,text_chars,"Привет мир"
Дана строка text. Подсчитайте количество символов.,text_chars,"Python"
Дана строка text. Подсчитайте количество символов.,text_chars,"Данные"
Дана строка text. Подсчитайте количество символов.,text_chars,"Обработка текста"
Дана строка text. Подсчитайте количество символов.,text_chars,"Система тестирования"

Дана строка text. Подсчитайте символы без пробелов.,text_chars_no_space,"Привет мир"
Дана строка text. Подсчитайте символы без пробелов.,text_chars_no_space,"Анализ данных"
Дана строка text. Подсчитайте символы без пробелов.,text_chars_no_space,"Машинное обучение"
Дана строка text. Подсчитайте символы без пробелов.,text_chars_no_space,"Python язык"
Дана строка text. Подсчитайте символы без пробелов.,text_chars_no_space,"Курсовая работа"

Дана строка text. Удалите все пробелы.,text_remove_spaces,"Привет мир Python"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Обработка больших данных"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Система автоматической проверки"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Учебное задание"
Дана строка text. Удалите все пробелы.,text_remove_spaces,"Язык программирования"

Дан список чисел data. Найдите сумму элементов.,list_sum,"[1, 2, 3, 4, 5]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[-2, 5, 7, 1]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[10, 20, 30]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[3, 3, 3, 3]"
Дан список чисел data. Найдите сумму элементов.,list_sum,"[0, 5, -5]"

Дан список чисел data. Найдите сумму положительных.,list_sum_positive,"[-1, 2, 3, -4, 5]"
Дан список чисел data. Найдите сумму положительных.,list_sum_positive,"[1, -2, 3, 4]"
Дан список чисел data. Найдите сумму положительных.,list_sum_positive,"[-5, -3, 10]"
Дан список чисел data. Найдите сумму положительных.,list_sum_positive,"[7, 8, -9]"
Дан список чисел data. Найдите сумму положительных.,list_sum_positive,"[1, 1, 1]"

Дан список чисел data. Оставьте четные.,list_even,"[1, 2, 3, 4, 5]"
Дан список чисел data. Оставьте четные.,list_even,"[10, 15, 20]"
Дан список чисел data. Оставьте четные.,list_even,"[7, 9, 11]"
Дан список чисел data. Оставьте четные.,list_even,"[2, 4, 6]"
Дан список чисел data. Оставьте четные.,list_even,"[0, 1, 2]"

Дан список чисел data. Возведите в квадрат.,list_square,"[1, 2, 3]"
Дан список чисел data. Возведите в квадрат.,list_square,"[4, 5]"
Дан список чисел data. Возведите в квадрат.,list_square,"[6, 7, 8]"
Дан список чисел data. Возведите в квадрат.,list_square,"[9]"
Дан список чисел data. Возведите в квадрат.,list_square,"[2, 4, 6]"

Дан словарь data. Найдите сумму значений.,dict_sum,"{'a': 3, 'b': 7}"
Дан словарь data. Найдите сумму значений.,dict_sum,"{'x': 10, 'y': 5}"
Дан словарь data. Найдите сумму значений.,dict_sum,"{'m': 1, 'n': 2, 'k': 3}"
Дан словарь data. Найдите среднее значение.,dict_avg,"{'Ann': 80, 'Bob': 90}"
Дан словарь data. Найдите среднее значение.,dict_avg,"{'Kate': 70, 'Max': 85, 'Leo': 95}"
